event_id,event_name,event_type,region,start_date,end_date,narrative
EVT001,Global Launch,launch,KR,2024-01-01,2024-01-21,Worldwide release with launch missions and starter rewards.
EVT001,Global Launch,launch,JP,2024-01-01,2024-01-21,Worldwide release with launch missions and starter rewards.
EVT001,Global Launch,launch,GLOBAL_WEST,2024-01-01,2024-01-21,Worldwide release with launch missions and starter rewards.
EVT002,Half-Anniversary Raid,milestone,KR,2024-06-26,2024-07-09,Six-month celebration and limited cooperative PvE boss.
EVT002,Half-Anniversary Raid,milestone,JP,2024-06-26,2024-07-09,Six-month celebration and limited cooperative PvE boss.
EVT002,Half-Anniversary Raid,milestone,GLOBAL_WEST,2024-06-26,2024-07-09,Six-month celebration and limited cooperative PvE boss.
EVT016,KR Summer Check-In,regional,KR,2024-07-03,2024-07-07,A culturally neutral summer check-in for KR.
EVT017,JP Star Festival,regional,JP,2024-07-03,2024-07-07,A localized star-festival mission series for JP.
EVT018,Global West Summer Celebration,regional,GLOBAL_WEST,2024-07-03,2024-07-07,A culturally neutral July summer celebration for Global West.
EVT003,Fantasy Saga Crossover,collaboration,KR,2024-09-04,2024-09-25,A well-matched fantasy IP collaboration with story and boss content.
EVT003,Fantasy Saga Crossover,collaboration,JP,2024-09-04,2024-09-25,A well-matched fantasy IP collaboration with story and boss content.
EVT003,Fantasy Saga Crossover,collaboration,GLOBAL_WEST,2024-09-04,2024-09-25,A well-matched fantasy IP collaboration with story and boss content.
EVT004,Regional Autumn Festival,seasonal,KR,2024-09-26,2024-10-09,"Localized Chuseok, harvest, and moon-viewing rewards by region."
EVT004,Regional Autumn Festival,seasonal,JP,2024-09-26,2024-10-09,"Localized Chuseok, harvest, and moon-viewing rewards by region."
EVT004,Regional Autumn Festival,seasonal,GLOBAL_WEST,2024-09-26,2024-10-09,"Localized Chuseok, harvest, and moon-viewing rewards by region."
EVT005,Christmas Festival 2024,seasonal,KR,2024-12-18,2024-12-31,"Shared holiday story, costumes, and login rewards."
EVT005,Christmas Festival 2024,seasonal,JP,2024-12-18,2024-12-31,"Shared holiday story, costumes, and login rewards."
EVT005,Christmas Festival 2024,seasonal,GLOBAL_WEST,2024-12-18,2024-12-31,"Shared holiday story, costumes, and login rewards."
EVT019,New Year Festival 2025,seasonal,KR,2025-01-01,2025-01-07,Shared New Year login rewards before the anniversary.
EVT019,New Year Festival 2025,seasonal,JP,2025-01-01,2025-01-07,Shared New Year login rewards before the anniversary.
EVT019,New Year Festival 2025,seasonal,GLOBAL_WEST,2025-01-01,2025-01-07,Shared New Year login rewards before the anniversary.
EVT006,First Anniversary,anniversary,KR,2025-01-08,2025-01-31,"Anniversary selector rewards, raid, and progression support."
EVT006,First Anniversary,anniversary,JP,2025-01-08,2025-01-31,"Anniversary selector rewards, raid, and progression support."
EVT006,First Anniversary,anniversary,GLOBAL_WEST,2025-01-08,2025-01-31,"Anniversary selector rewards, raid, and progression support."
EVT007,Spring Content Gap,content_gap,KR,2025-03-20,2025-04-30,Long interval without major story or end-game content.
EVT007,Spring Content Gap,content_gap,JP,2025-03-20,2025-04-30,Long interval without major story or end-game content.
